python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00391 07070073.wav 0:00:04.986667 219912
00392 07011089.wav 0:00:05 220500
00393 07011256.wav 0:00:05 220500
00394 07011257.wav 0:00:05 220500
00395 07013025.wav 0:00:05 220500
00396 07045180.wav 0:00:05.013333 221088
00397 07022376.wav 0:00:05.024399 221576
00398 07023333.wav 0:00:05.027392 221708
00399 07023259.wav 0:00:05.030794 221858
00400 07011066.wav 0:00:05.040000 222264
00401 07040183.wav 0:00:05.040000 222264
00402 07027126.wav 0:00:05.042630 222380
00403 07032177.wav 0:00:05.044875 222479
00404 07027073.wav 0:00:05.053878 222876
00405 07005036.wav 0:00:05.055374 222942
00406 07043258.wav 0:00:05.060000 223146
00407 07006096.wav 0:00:05.061950 223232
00408 07032008.wav 0:00:05.068073 223502
00409 07022500.wav 0:00:05.071746 223664
00410 07027124.wav 0:00:05.075147 223814
00411 07037544.wav 0:00:05.078549 223964
00412 07045182.wav 0:00:05.080000 224028
00413 07027080.wav 0:00:05.098866 224860
00414 07022271.wav 0:00:05.103129 225048
00415 07028058.wav 0:00:05.105805 225166
00416 07042149.wav 0:00:05.106667 225204
00417 07043263.wav 0:00:05.106667 225204
00418 07038323.wav 0:00:05.107211 225228
00419 07023331.wav 0:00:05.113651 225512
00420 07010130.wav 0:00:05.120000 225792
00421 07037556.wav 0:00:05.120000 225792
00422 07042176.wav 0:00:05.120000 225792
00423 07045188.wav 0:00:05.120000 225792
00424 07019106.wav 0:00:05.124875 226007
00425 07030070.wav 0:00:05.127528 226124
00426 07022438.wav 0:00:05.128571 226170
00427 07005173.wav 0:00:05.130975 226276
00428 07032210.wav 0:00:05.136508 226520
00429 07004298.wav 0:00:05.139705 226661
00430 07008178.wav 0:00:05.140000 226674
00431 07022496.wav 0:00:05.142404 226780
00432 07027181.wav 0:00:05.142948 226804
00433 07045082.wav 0:00:05.146667 226968
00434 07022388.wav 0:00:05.150295 227128
00435 07039226.wav 0:00:05.156961 227422
00436 07011102.wav 0:00:05.160000 227556
00437 07014139.wav 0:00:05.160000 227556
00438 07019168.wav 0:00:05.160000 227556
00439 07037327.wav 0:00:05.160000 227556
00440 07022389.wav 0:00:05.165351 227792
00441 07045196.wav 0:00:05.173333 228144
00442 07045231.wav 0:00:05.173333 228144
00443 07019160.wav 0:00:05.180000 228438
00444 07011060.wav 0:00:05.180317 228452
00445 07070114.wav 0:00:05.186667 228732
00446 07022307.wav 0:00:05.208073 229676
00447 07005032.wav 0:00:05.212608 229876
00448 07027081.wav 0:00:05.212880 229888
00449 07045173.wav 0:00:05.213333 229908
00450 07045298.wav 0:00:05.213333 229908
00451 07055191.wav 0:00:05.213333 229908
